Contact Id,Tag Added,Should have Added,Status
uJlFTUWt0h3wbRMClPgQ,no,no,not-effected
ZMHNbUo4ZyOvBiV3DmZM,yes,question not found - skip add tag,effected
10J4WJGTHslp7cPZGlet,no,no,not-effected
sDGyRmnyODA3P1EsB0vk,no,no,not-effected
IIo9BQlmfDUXyofbBbNc,no,no,not-effected
58fKxHmRFJ3qEc7Vc85u,no,no,not-effected
fcvyEzPhCuPHoETCcoFB,yes,question not found - skip add tag,effected
PJ5epfbpnPYazwHRXIL7,yes,question not found - skip add tag,effected
Wk9Alc9mG3y9tSd4KHiH,no,no,not-effected
GZnGCWtVKUiu0BoZhniu,yes,question not found - skip add tag,effected
XFJ1eNMPkAYRGC7IQI4V,no,no,not-effected
vKlVtGWtFimRnJfSn612,no,no,not-effected
d1YTi4a22gEp01gUxleE,yes,question not found - skip add tag,effected
IirG0UIbHpYQGfxgAIH1,no,no,not-effected
FIhBQ79rI3ScL2aICY53,no,no,not-effected
5GI1w54gwtjRDkRJ1Mkm,no,no,not-effected
rQbTHTsiIfpn1aAMume4,no,no,not-effected
l6nNnSWP0Bp6FTDUsYGO,yes,question not found - skip add tag,effected
dmgQMgiEaA3HjabJpz3a,no,no,not-effected
NBnhHXjwwf1PY9ZowjwC,yes,question not found - skip add tag,effected
ev4zEDHBbNAekYS0atfU,yes,question not found - skip add tag,effected
rs1zffOb6awzYOKK7b8S,no,no,not-effected
oYCgICmDUKs7HzMe7JT1,yes,question not found - skip add tag,effected
nDfohTnFWiduyFYEiwAC,yes,question not found - skip add tag,effected
zNXwfnRDTOrOtDI3h8As,yes,question not found - skip add tag,effected
ZSgZoxrVguRuIGofWSdi,yes,question not found - skip add tag,effected
1H0VgJj7DWk9J1NI3f6X,no,no,not-effected
UF78CiyuBG0s7nYMbSJ1,no,no,not-effected
eTkEsp2Frff4rzGZjZpi,no,no,not-effected
79NLqJevACNTDmJEBcPL,no,no,not-effected
NAUGGMzbGuFTvWrcwRv3,yes,question not found - skip add tag,effected
q9xM0oQW2OHcBEsDgC2u,no,no,not-effected
4fqz6yGYrDrGgNL8ZDG8,yes,question not found - skip add tag,effected
